projection,n_connections,weight_mean_pA,weight_std_pA,learned_weight_mean_pA,learned_weight_std_pA,delay_mean_ms,delay_std_ms
BS->RG-E,4988,3.502,2.072,15.445,0.353,3.003,0.208
BS->RG-F,4928,3.528,2.105,15.834,1.722,2.998,0.210
CUT->InE,1500,6.065,2.958,,,2.011,0.205
CUT->RG-E (plastic),5002,3.499,1.044,61.165,2.958,1.998,0.211
Ia-E->IaInt-E,1963,6.019,2.938,,,1.997,0.205
Ia-E->InE,1303,5.986,2.818,,,1.991,0.203
Ia-F->IaInt-F,2037,6.023,2.928,,,2.004,0.202
Ia-F->InF,1228,5.894,2.930,,,1.996,0.206
IaInt-E->M-F,2016,-9.917,5.052,,,1.998,0.206
IaInt-F->M-E,2060,-10.134,5.104,,,1.999,0.207
InE->RG-F,716,-7.968,4.033,,,1.804,0.208
InF->RG-E,1560,-48.677,26.119,,,1.807,0.209
M-E->M-F,2577,-22.458,11.133,,,1.808,0.209
M-E->mus-E,8027,1.004,0.512,,,1.999,0.207
M-F->M-E,2442,-21.846,10.757,,,1.805,0.210
M-F->mus-F,8047,1.002,0.505,,,2.003,0.210
RG-E->InE,754,12.159,6.180,,,1.812,0.215
RG-E->M-E,4945,30.078,15.162,,,2.001,0.209
RG-F->InF,1497,18.322,9.247,,,1.798,0.212
RG-F->M-F,5008,29.959,14.896,,,1.996,0.208
base->RG-E,986,1.030,0.535,,,3.005,0.212
base->RG-F,997,0.982,0.497,,,2.994,0.205
commiss E (L->R),962,-8.217,4.481,,,2.200,0.207
commiss F (L->R),2161,-20.191,10.393,,,2.199,0.213
flexAff->InF,1291,6.026,3.137,,,1.991,0.213
flexAff->RG-F,2486,5.980,3.004,,,2.001,0.205
