mode,lambda,corrF,corrRG,corrLR,atcap,Fpk,cut
slow walk,1e-02,-0.754,-0.981,-0.795,0.000,5.910,47.032
slow walk,1e-03,-0.737,-0.973,-0.815,0.000,5.629,61.069
slow walk,1e-04,-0.713,-0.967,-0.811,0.000,5.509,62.765
slow walk,1e-05,-0.490,-0.911,-0.816,0.000,5.712,13.877
slow walk,1e-06,-0.794,-0.924,-0.688,0.941,6.094,4.321
medium walk,1e-02,-0.716,-0.982,-0.786,0.000,5.229,53.753
medium walk,1e-03,-0.695,-0.966,-0.792,0.000,5.035,61.340
medium walk,1e-04,-0.654,-0.957,-0.769,0.000,4.857,62.512
medium walk,1e-05,-0.361,-0.907,-0.457,0.000,5.212,14.349
medium walk,1e-06,-0.750,-0.907,-0.443,0.900,5.497,4.274
fast walk,1e-02,-0.468,-0.892,-0.322,0.000,4.293,55.584
fast walk,1e-03,-0.543,-0.904,-0.572,0.000,4.027,60.021
fast walk,1e-04,-0.566,-0.916,-0.553,0.000,3.821,62.777
fast walk,1e-05,-0.182,-0.941,-0.193,0.000,4.305,13.436
fast walk,1e-06,-0.593,-0.916,-0.268,0.407,4.460,4.288
toe stepping,1e-02,-0.707,-0.918,-0.699,0.000,6.413,54.239
toe stepping,1e-03,-0.648,-0.921,-0.692,0.000,6.012,62.793
toe stepping,1e-04,-0.545,-0.868,-0.615,0.000,5.551,49.706
toe stepping,1e-05,0.135,-0.884,-0.062,1.000,6.536,7.054
toe stepping,1e-06,-0.167,-0.816,-0.409,0.950,7.079,3.802
