projection,n_connections,weight_mean_pA,weight_std_pA,delay_mean_ms,delay_std_ms
BS->RG-E,5025,3.501,2.070,3.001,0.209
BS->RG-F,4957,3.475,2.051,3.001,0.207
CUT->RG-E,8554,7.862,5.233,1.997,0.208
Ia-E->InE,1252,6.000,0.000,1.995,0.211
Ia-F->InF,1245,6.000,0.000,2.002,0.206
IaInt-E->M-F,1997,-10.000,0.000,1.995,0.210
InE->RG-F,741,-8.000,0.000,1.793,0.216
InF->RG-E,1461,-48.000,0.000,1.807,0.205
M-E->M-F,2502,-22.000,0.000,1.803,0.209
M-E->mus-E,7977,1.000,0.000,2.001,0.208
M-F->M-E,2469,-22.000,0.000,1.798,0.210
RG-E->InE,774,12.000,0.000,1.802,0.211
RG-E->M-E,5012,30.000,0.000,1.997,0.210
RG-F->InF,1547,18.000,0.000,1.799,0.214
RG-F->M-F,5025,30.000,0.000,2.006,0.210
commiss E (L->R),999,-8.000,0.000,2.207,0.207
commiss F (L->R),2187,-20.000,0.000,2.197,0.209
flexAff->RG-F,2532,6.000,0.000,2.008,0.202
